Material Code ,Material Description,Unit, Price 
MS06.0080,"PVC SEEP, TEE, SINGLE BRANCH, 87.5° (101 mm x 50 mm)",PC, 116.16 
MS06.0081,"PVC SEEP, TEE, SINGLE BRANCH, 87.5° (101 mm x 76 mm)",PC, 110.88 
MS06.0082,"PVC SEEP, TEE, SINGLE BRANCH, 87.5° (101 mm x 101 mm)",PC, 132.00 
MS06.0083,"RS CONDUIT (1/2"" | 12.7 mm Ø)",PC, 215.60 
MS06.0084,"RS CONDUIT (3/4"" | 19 mm Ø)",PC, 461.12 
MS06.0085,"RS CONDUIT (1"" | 25.4 mm Ø)",PC, 700.48 
MS06.0086,"RS CONDUIT COUPLING (1/2"" | 12.7 mm Ø)",PC, 14.96 
MS06.0087,"RS CONDUIT COUPLING (1"" | 25.4 mm Ø)",PC, 21.12 
MS06.0088,"RS CONDUIT ELBOW 90° (1"" | 25.4 mm Ø)",PC, 183.92 
MS06.0089,"PVC CONDUIT (1/2"" | 12.7 mm Ø)",PC, 83.60 
MS06.0090,"PVC CONDUIT (3/4"" | 19 mm Ø)",PC, 92.40 
MS06.0091,"PVC CONDUIT (1"" | 25.4 mm Ø)",PC, 149.60 
MS06.0092,"PVC CONDUIT COUPLING (1/2"" | 12.7 mm Ø)",PC, 4.40 
MS06.0093,"PVC CONDUIT COUPLING (3/4"" | 19 mm Ø)",PC, 8.80 
MS06.0094,"PVC CONDUIT COUPLING (1"" | 25.4 mm Ø)",PC, 14.96 
MS06.0095,"PVC CONDUIT ELBOW, 90° (1"" | 25.4 mm Ø)",PC, 20.24 
MS06.0096,"PVC ADAPTER WITH LOCKNUT (1/2"" | 12.7 mm Ø)",PC, 8.80 
MS06.0097,"PVC ADAPTER WITH LOCKNUT (3/4"" | 19 mm Ø)",PC, 14.08 
MS06.0098,"PVC ADAPTER WITH LOCKNUT (1"" | 25.4 mm Ø)",PC, 24.92 
MS06.0099,"BUSHING AND LOCKNUT (1/2"" | 12.7 mm Ø)",PC, 7.04 
MS06.0100,"BUSHING AND LOCKNUT (3/4"" | 19 mm Ø)",PC, 9.68 
MS06.0101,"BUSHING AND LOCKNUT (1"" | 25.4 mm Ø)",PC, 12.32 
MS06.0102,"SERVICE ENTRANCE CAP (1/2"" | 12.7 mm Ø)",PC, 59.84 
MS06.0103,"SERVICE ENTRANCE CAP (3/4"" | 19 mm Ø)",PC, 91.52 
MS06.0104,"SERVICE ENTRANCE CAP (1"" | 25.4 mm Ø)",PC, 183.92 
